Tidspunkt,Temperatur (°C),Vindhastighet (km/t),Trykk,Nedbør (mm)
2025-01-16 00:00,5.7,21.6,1014.0,1.09
2025-01-16 01:00,6.9,28.4,1014.0,0.12
2025-01-16 02:00,6.8,26.6,1015.0,0.03
2025-01-16 03:00,6.4,22.0,1015.0,0.01
2025-01-16 04:00,6.7,20.9,1015.0,0.01
2025-01-16 05:00,7.1,18.7,1015.0,0.01
2025-01-16 06:00,6.3,13.0,1015.0,0.03
2025-01-16 07:00,5.1,9.0,1015.0,0.0
2025-01-16 08:00,5.0,7.9,1015.0,0.0
2025-01-16 09:00,5.0,8.3,1015.0,0.02
2025-01-16 10:00,4.8,8.6,1015.0,0.01
2025-01-16 11:00,4.7,9.4,1016.0,0.11
2025-01-16 12:00,6.2,16.6,1016.0,0.13
2025-01-16 13:00,7.0,20.5,1016.0,0.13
2025-01-16 14:00,6.8,18.4,1017.0,0.02
2025-01-16 15:00,6.5,14.4,1018.0,0.04
2025-01-16 16:00,4.8,4.0,1018.0,0.07
2025-01-16 17:00,4.3,4.7,1019.0,0.27
2025-01-16 18:00,4.3,6.5,1019.0,0.1
2025-01-16 19:00,4.1,6.8,1019.0,0.08
2025-01-16 20:00,4.1,7.2,1019.0,0.05
2025-01-16 21:00,4.0,6.8,1019.0,0.03
2025-01-16 22:00,3.7,6.5,1019.0,0.0
2025-01-16 23:00,3.7,7.2,1019.0,0.01
2025-01-17 00:00,3.4,8.3,1016.0,0.4
2025-01-17 01:00,3.3,8.3,1016.0,0.14
2025-01-17 02:00,3.5,9.0,1016.0,0.0
2025-01-17 03:00,3.7,9.0,1016.0,0.05
2025-01-17 04:00,3.2,8.6,1016.0,0.0
2025-01-17 05:00,2.4,8.6,1016.0,0.02
2025-01-17 06:00,2.5,8.3,1015.0,0.0
2025-01-17 07:00,2.4,7.6,1015.0,0.14
2025-01-17 08:00,2.3,7.6,1014.0,0.03
2025-01-17 09:00,2.3,8.6,1014.0,0.0
2025-01-17 10:00,2.1,7.6,1013.0,0.0
2025-01-17 11:00,2.2,5.8,1013.0,0.0
2025-01-17 12:00,2.5,7.2,1013.0,0.0
2025-01-17 13:00,2.8,6.5,1013.0,0.02
2025-01-17 14:00,3.8,6.8,1012.0,0.0
2025-01-17 15:00,5.0,7.9,1012.0,0.02
2025-01-17 16:00,6.6,16.6,1013.0,0.0
2025-01-17 17:00,7.4,33.8,1015.0,0.06
2025-01-17 18:00,6.3,37.1,1016.0,0.03
2025-01-17 19:00,5.7,36.7,1017.0,0.01
2025-01-17 20:00,5.7,32.4,1018.0,0.0
2025-01-17 21:00,5.6,28.4,1019.0,0.0
2025-01-17 22:00,5.0,25.2,1019.0,0.01
2025-01-17 23:00,4.7,19.8,1021.0,0.02
2025-01-18 00:00,3.4,31.3,1022.0,0.0
2025-01-18 01:00,3.3,22.0,1023.0,0.0
2025-01-18 02:00,3.0,15.8,1024.0,0.0
2025-01-18 03:00,2.7,13.0,1024.0,0.0
2025-01-18 04:00,2.8,10.4,1025.0,0.01
2025-01-18 05:00,2.5,5.8,1025.0,0.03
2025-01-18 06:00,2.2,5.0,1024.0,0.02
2025-01-18 07:00,2.0,6.8,1022.0,0.0
2025-01-18 08:00,2.0,6.8,1021.0,0.0
2025-01-18 09:00,2.1,6.1,1021.0,0.05
2025-01-18 10:00,2.3,6.8,1020.0,0.13
2025-01-18 11:00,2.5,4.7,1019.0,0.13
2025-01-18 12:00,2.7,3.6,1019.0,0.0
2025-01-18 13:00,3.0,5.4,1018.0,0.0
2025-01-18 14:00,3.4,7.6,1017.0,0.0
2025-01-18 15:00,2.6,8.6,1017.0,0.0
2025-01-18 16:00,2.3,7.9,1017.0,0.0
2025-01-18 17:00,2.1,7.9,1017.0,0.0
2025-01-18 18:00,2.1,6.5,1017.0,0.0
2025-01-18 19:00,1.9,7.6,1017.0,0.0
2025-01-18 20:00,1.9,7.9,1017.0,0.0
2025-01-18 21:00,1.9,7.6,1017.0,0.0
2025-01-18 22:00,2.1,7.2,1017.0,0.0
