Tidspunkt,Temperatur (°C),Vindhastighet (km/t),Trykk,Nedbør (mm),weekday,hour
2025-01-18 10:00:00,2.3,6.8,1021.0,0.1,Saturday,10
2025-01-18 11:00:00,2.5,4.7,1021.0,0.3,Saturday,11
2025-01-18 12:00:00,2.7,3.6,1019.0,0.3,Saturday,12
2025-01-18 13:00:00,3.0,5.4,1018.0,0.0,Saturday,13
2025-01-18 14:00:00,3.4,7.6,1017.0,0.0,Saturday,14
2025-01-18 15:00:00,2.6,8.6,1017.0,0.0,Saturday,15
2025-01-18 16:00:00,2.3,7.9,1017.0,0.0,Saturday,16
2025-01-25 10:00:00,4.1,19.8,972.0,0.2,Saturday,10
2025-01-25 11:00:00,4.4,23.4,972.0,0.3,Saturday,11
2025-01-25 12:00:00,5.2,25.5,972.0,0.0,Saturday,12
2025-01-25 13:00:00,5.2,25.4,973.0,0.0,Saturday,13
2025-01-25 14:00:00,5.1,27.5,973.0,0.1,Saturday,14
2025-01-25 15:00:00,4.6,28.3,973.0,0.3,Saturday,15
2025-01-25 16:00:00,4.5,25.0,973.0,0.0,Saturday,16
2025-02-01 10:00:00,-1.8,5.8,1030.0,0.0,Saturday,10
2025-02-01 11:00:00,-2.3,5.0,1030.0,0.0,Saturday,11
2025-02-01 12:00:00,-1.4,4.7,1030.0,0.0,Saturday,12
2025-02-01 13:00:00,-0.9,4.3,1029.0,0.0,Saturday,13
2025-02-01 14:00:00,-0.8,4.3,1029.0,0.0,Saturday,14
2025-02-01 15:00:00,-0.4,5.4,1029.0,0.0,Saturday,15
2025-02-01 16:00:00,-1.4,6.1,1028.0,0.0,Saturday,16
2025-02-08 10:00:00,-2.4,27.3,1037.0,0.0,Saturday,10
2025-02-08 11:00:00,-1.7,22.6,1037.0,0.0,Saturday,11
2025-02-08 12:00:00,-1.2,6.8,1037.0,0.0,Saturday,12
2025-02-08 13:00:00,-0.6,6.1,1037.0,0.0,Saturday,13
2025-02-08 14:00:00,0.1,5.8,1037.0,0.0,Saturday,14
2025-02-08 15:00:00,0.0,6.5,1037.0,0.0,Saturday,15
2025-02-08 16:00:00,-0.5,6.5,1036.0,0.0,Saturday,16
2025-02-15 10:00:00,-7.7,5.0,1034.0,0.0,Saturday,10
2025-02-15 11:00:00,-6.5,3.6,1034.0,0.0,Saturday,11
2025-02-15 12:00:00,-5.8,2.2,1034.0,0.0,Saturday,12
2025-02-15 13:00:00,-5.4,1.8,1034.0,0.0,Saturday,13
2025-02-15 14:00:00,-5.2,1.8,1034.0,0.0,Saturday,14
2025-02-15 15:00:00,-5.3,0.7,1034.0,0.0,Saturday,15
2025-02-15 16:00:00,-5.2,2.9,1034.0,0.0,Saturday,16
2025-02-22 10:00:00,5.2,5.4,1005.0,0.0,Saturday,10
2025-02-22 11:00:00,5.5,5.4,1005.0,0.0,Saturday,11
2025-02-22 12:00:00,6.0,5.8,1005.0,0.0,Saturday,12
2025-02-22 13:00:00,6.5,5.8,1005.0,0.0,Saturday,13
2025-02-22 14:00:00,6.7,5.8,1005.0,0.0,Saturday,14
2025-02-22 15:00:00,6.1,9.4,1005.0,0.0,Saturday,15
2025-02-22 16:00:00,5.5,8.5,1004.0,0.2,Saturday,16
2025-03-01 10:00:00,2.3,6.8,1018.0,0.0,Saturday,10
2025-03-01 11:00:00,3.3,6.1,1018.0,0.0,Saturday,11
2025-03-01 12:00:00,3.4,6.5,1018.0,0.1,Saturday,12
2025-03-01 13:00:00,3.2,3.2,1018.0,0.1,Saturday,13
2025-03-01 14:00:00,3.1,6.5,1018.0,0.0,Saturday,14
2025-03-01 15:00:00,3.7,13.0,1018.0,0.0,Saturday,15
2025-03-01 16:00:00,4.5,14.4,1018.0,0.0,Saturday,16
2025-03-08 10:00:00,4.1,13.9,1018.0,0.0,Saturday,10
2025-03-08 11:00:00,3.8,13.4,1018.0,0.0,Saturday,11
2025-03-08 12:00:00,4.5,13.5,1018.0,0.0,Saturday,12
2025-03-08 13:00:00,4.6,12.1,1018.0,0.0,Saturday,13
2025-03-08 14:00:00,4.4,9.7,1017.0,0.0,Saturday,14
2025-03-08 15:00:00,4.2,7.2,1017.0,0.0,Saturday,15
2025-03-08 16:00:00,3.7,5.3,1017.0,0.0,Saturday,16
2025-03-15 10:00:00,3.2,34.2,1007.0,0.7,Saturday,10
2025-03-15 11:00:00,3.6,33.8,1006.0,0.7,Saturday,11
2025-03-15 12:00:00,3.9,32.8,1007.0,0.2,Saturday,12
2025-03-15 13:00:00,4.1,32.0,1007.0,0.0,Saturday,13
2025-03-15 14:00:00,3.7,34.2,1006.0,1.6,Saturday,14
2025-03-15 15:00:00,3.3,35.6,1005.0,1.2,Saturday,15
2025-03-15 16:00:00,3.2,34.2,1005.0,1.2,Saturday,16
