Tidspunkt,Temperatur (°C),Vindhastighet (km/t),Trykk,Nedbør (mm)
2025-01-16 00:00,5.7,17.5,1014.0,2.1
2025-01-16 01:00,6.9,21.9,1014.0,0.9
2025-01-16 02:00,6.8,19.8,1015.0,0.3
2025-01-16 03:00,6.4,22.0,1015.0,0.1
2025-01-16 04:00,6.7,20.9,1015.0,0.0
2025-01-16 05:00,7.1,18.7,1015.0,0.1
2025-01-16 06:00,6.3,17.1,1015.0,0.0
2025-01-16 07:00,6.7,17.2,1015.0,0.0
2025-01-16 08:00,6.5,15.9,1015.0,0.0
2025-01-16 09:00,6.2,15.3,1015.0,0.0
2025-01-16 10:00,6.1,16.5,1015.0,0.0
2025-01-16 11:00,5.9,15.8,1016.0,0.0
2025-01-16 12:00,6.2,20.7,1016.0,0.0
2025-01-16 13:00,7.0,20.5,1016.0,0.0
2025-01-16 14:00,6.8,18.4,1017.0,0.0
2025-01-16 15:00,6.5,14.4,1018.0,0.0
2025-01-16 16:00,6.2,8.4,1018.0,0.1
2025-01-16 17:00,4.3,4.7,1019.0,0.0
2025-01-16 18:00,4.3,6.5,1018.0,0.0
2025-01-16 19:00,4.1,6.8,1017.0,0.9
2025-01-16 20:00,4.1,7.2,1017.0,1.3
2025-01-16 21:00,4.0,6.8,1017.0,0.9
2025-01-16 22:00,3.7,6.5,1017.0,0.9
2025-01-16 23:00,3.7,7.2,1017.0,0.9
2025-01-17 00:00,3.4,8.3,1016.0,0.0
2025-01-17 01:00,3.3,8.3,1016.0,0.0
2025-01-17 02:00,3.5,9.0,1016.0,0.0
2025-01-17 03:00,3.7,9.0,1016.0,0.0
2025-01-17 04:00,3.2,8.6,1016.0,0.0
2025-01-17 05:00,2.4,8.6,1016.0,0.0
2025-01-17 06:00,2.5,8.3,1015.0,0.0
2025-01-17 07:00,3.5,7.6,1014.0,0.0
2025-01-17 08:00,3.5,7.6,1013.0,0.0
2025-01-17 09:00,2.3,8.6,1012.0,0.0
2025-01-17 10:00,2.1,7.6,1010.0,0.0
2025-01-17 11:00,3.2,5.8,1010.0,0.0
2025-01-17 12:00,2.5,7.2,1009.0,0.0
2025-01-17 13:00,2.8,6.5,1008.0,0.0
2025-01-17 14:00,3.8,6.8,1007.0,0.0
2025-01-17 15:00,5.0,7.9,1007.0,0.0
2025-01-17 16:00,7.6,28.1,1008.0,0.0
2025-01-17 17:00,7.4,42.8,1010.0,0.0
2025-01-17 18:00,6.3,43.0,1014.0,0.1
2025-01-17 19:00,5.7,36.7,1017.0,0.4
2025-01-17 20:00,5.7,32.4,1018.0,0.2
2025-01-17 21:00,5.6,28.4,1019.0,0.1
2025-01-17 22:00,5.0,25.2,1019.0,0.0
2025-01-17 23:00,4.7,25.2,1021.0,0.1
2025-01-18 00:00,3.4,31.3,1022.0,0.0
2025-01-18 01:00,3.3,25.7,1023.0,0.0
2025-01-18 02:00,3.0,22.5,1024.0,0.0
2025-01-18 03:00,2.7,19.2,1024.0,0.0
2025-01-18 04:00,2.8,15.8,1025.0,0.0
2025-01-18 05:00,3.5,11.2,1025.0,0.0
2025-01-18 06:00,3.2,9.2,1024.0,0.0
2025-01-18 07:00,2.0,6.8,1022.0,0.0
2025-01-18 08:00,2.0,6.8,1022.0,0.0
2025-01-18 09:00,2.1,6.1,1022.0,0.0
2025-01-18 10:00,2.3,6.8,1021.0,0.1
2025-01-18 11:00,2.5,4.7,1021.0,0.3
2025-01-18 12:00,2.7,3.6,1019.0,0.3
2025-01-18 13:00,3.0,5.4,1018.0,0.0
2025-01-18 14:00,3.4,7.6,1017.0,0.0
2025-01-18 15:00,2.6,8.6,1017.0,0.0
2025-01-18 16:00,2.3,7.9,1017.0,0.0
2025-01-18 17:00,2.1,7.9,1017.0,0.0
2025-01-18 18:00,2.1,6.5,1017.0,0.0
2025-01-18 19:00,1.9,7.6,1017.0,0.0
2025-01-18 20:00,1.9,7.9,1017.0,0.0
2025-01-18 21:00,1.9,7.6,1017.0,0.0
2025-01-18 22:00,2.1,7.2,1017.0,0.0
2025-01-18 23:00,2.1,7.9,1017.0,0.0
2025-01-19 00:00,0.1,5.4,1018.0,0.0
2025-01-19 01:00,0.1,5.4,1018.0,0.0
2025-01-19 02:00,-0.0,5.0,1018.0,0.0
2025-01-19 03:00,-0.3,4.3,1018.0,0.0
2025-01-19 04:00,0.7,8.8,1018.0,0.0
2025-01-19 05:00,1.3,9.3,1018.0,0.0
2025-01-19 06:00,1.8,6.1,1018.0,0.0
2025-01-19 07:00,2.1,9.8,1018.0,0.0
2025-01-19 08:00,2.5,10.0,1018.0,0.1
