Tidspunkt,Temperatur (°C),Vindhastighet (km/t),Trykk,Nedbør (mm),weekday,hour
2025-01-18 10:00:00,2.3,6.8,1020.0,0.13,Saturday,10
2025-01-18 11:00:00,2.5,4.7,1019.0,0.13,Saturday,11
2025-01-18 12:00:00,2.7,3.6,1019.0,0.0,Saturday,12
2025-01-18 13:00:00,3.0,5.4,1018.0,0.0,Saturday,13
2025-01-18 14:00:00,3.4,7.6,1017.0,0.0,Saturday,14
2025-01-18 15:00:00,2.6,8.6,1017.0,0.0,Saturday,15
2025-01-18 16:00:00,2.3,7.9,1017.0,0.0,Saturday,16
2025-01-25 10:00:00,4.1,19.8,975.0,0.0,Saturday,10
2025-01-25 11:00:00,4.4,23.4,977.0,0.0,Saturday,11
2025-01-25 12:00:00,3.9,21.6,978.0,0.0,Saturday,12
2025-01-25 13:00:00,3.4,20.2,979.0,0.0,Saturday,13
2025-01-25 14:00:00,2.5,19.4,979.0,0.0,Saturday,14
2025-01-25 15:00:00,2.2,22.3,979.0,0.0,Saturday,15
2025-01-25 16:00:00,1.6,20.9,979.0,0.0,Saturday,16
2025-02-01 10:00:00,-5.4,5.8,1030.0,0.0,Saturday,10
2025-02-01 11:00:00,-4.3,5.0,1030.0,0.0,Saturday,11
2025-02-01 12:00:00,-3.2,4.7,1030.0,0.0,Saturday,12
2025-02-01 13:00:00,-2.6,4.3,1029.0,0.0,Saturday,13
2025-02-01 14:00:00,-2.8,4.3,1029.0,0.0,Saturday,14
2025-02-01 15:00:00,-3.9,5.4,1029.0,0.0,Saturday,15
2025-02-01 16:00:00,-5.8,6.1,1028.0,0.0,Saturday,16
2025-02-08 10:00:00,-8.3,9.0,1040.0,0.0,Saturday,10
2025-02-08 11:00:00,-7.0,7.9,1040.0,0.0,Saturday,11
2025-02-08 12:00:00,-5.8,6.8,1040.0,0.0,Saturday,12
2025-02-08 13:00:00,-5.1,6.1,1040.0,0.0,Saturday,13
2025-02-08 14:00:00,-4.9,5.8,1040.0,0.0,Saturday,14
2025-02-08 15:00:00,-4.9,6.5,1040.0,0.0,Saturday,15
2025-02-08 16:00:00,-6.3,6.5,1040.0,0.0,Saturday,16
2025-02-15 10:00:00,-9.5,5.0,1034.0,0.0,Saturday,10
2025-02-15 11:00:00,-8.0,3.6,1034.0,0.0,Saturday,11
2025-02-15 12:00:00,-7.0,2.2,1034.0,0.0,Saturday,12
2025-02-15 13:00:00,-6.5,1.8,1034.0,0.0,Saturday,13
2025-02-15 14:00:00,-6.4,1.8,1034.0,0.0,Saturday,14
2025-02-15 15:00:00,-6.6,0.7,1034.0,0.0,Saturday,15
2025-02-15 16:00:00,-8.2,2.9,1034.0,0.0,Saturday,16
2025-02-22 10:00:00,0.0,5.4,1006.0,0.0,Saturday,10
2025-02-22 11:00:00,0.9,5.4,1006.0,0.0,Saturday,11
2025-02-22 12:00:00,1.2,5.8,1006.0,0.0,Saturday,12
2025-02-22 13:00:00,1.4,5.8,1006.0,0.02,Saturday,13
2025-02-22 14:00:00,1.3,5.8,1006.0,0.02,Saturday,14
2025-02-22 15:00:00,1.4,5.8,1006.0,0.02,Saturday,15
2025-02-22 16:00:00,1.0,4.7,1006.0,0.0,Saturday,16
2025-03-01 10:00:00,0.0,6.8,1018.0,0.0,Saturday,10
2025-03-01 11:00:00,1.2,6.1,1019.0,0.02,Saturday,11
2025-03-01 12:00:00,1.4,6.5,1019.0,0.0,Saturday,12
2025-03-01 13:00:00,1.6,3.2,1020.0,0.03,Saturday,13
2025-03-01 14:00:00,1.4,6.5,1020.0,0.12,Saturday,14
2025-03-01 15:00:00,1.9,9.4,1020.0,0.03,Saturday,15
2025-03-01 16:00:00,3.0,14.4,1020.0,0.01,Saturday,16
2025-03-08 10:00:00,3.1,8.6,1018.0,0.01,Saturday,10
2025-03-08 11:00:00,3.8,7.9,1018.0,0.01,Saturday,11
2025-03-08 12:00:00,4.5,7.2,1018.0,0.0,Saturday,12
2025-03-08 13:00:00,4.6,5.4,1018.0,0.0,Saturday,13
2025-03-08 14:00:00,4.4,2.2,1017.0,0.0,Saturday,14
2025-03-08 15:00:00,4.2,0.7,1017.0,0.0,Saturday,15
2025-03-08 16:00:00,3.7,1.4,1017.0,0.0,Saturday,16
2025-03-15 10:00:00,3.2,34.2,1008.0,0.02,Saturday,10
2025-03-15 11:00:00,3.6,33.8,1007.0,0.03,Saturday,11
2025-03-15 12:00:00,3.9,32.8,1007.0,0.08,Saturday,12
2025-03-15 13:00:00,4.1,32.0,1007.0,0.04,Saturday,13
2025-03-15 14:00:00,3.7,34.2,1006.0,0.07,Saturday,14
2025-03-15 15:00:00,3.3,35.6,1006.0,0.95,Saturday,15
2025-03-15 16:00:00,3.2,27.7,1007.0,0.42,Saturday,16
