Tidspunkt,Temperatur (°C),Vindhastighet (km/t),Trykk,Nedbør (mm),weekday,hour
2025-01-18 10:00:00,2.3,6.8,1020.0,0.13,Saturday,10
2025-01-18 11:00:00,2.5,4.7,1019.0,0.13,Saturday,11
2025-01-18 12:00:00,2.7,3.6,1019.0,0.0,Saturday,12
2025-01-18 13:00:00,3.0,5.4,1018.0,0.0,Saturday,13
2025-01-18 14:00:00,3.4,7.6,1017.0,0.0,Saturday,14
2025-01-18 15:00:00,2.6,8.6,1017.0,0.0,Saturday,15
2025-01-18 16:00:00,2.3,7.9,1017.0,0.0,Saturday,16
2025-01-21 10:00:00,-1.7,4.3,1010.0,0.0,Tuesday,10
2025-01-21 11:00:00,-1.3,4.3,1010.0,0.0,Tuesday,11
2025-01-21 12:00:00,-0.9,4.3,1010.0,0.0,Tuesday,12
2025-01-21 13:00:00,-0.7,4.3,1009.0,0.0,Tuesday,13
2025-01-21 14:00:00,-0.8,5.0,1009.0,0.01,Tuesday,14
2025-01-21 15:00:00,-1.3,5.8,1009.0,0.09,Tuesday,15
2025-01-21 16:00:00,-1.6,6.1,1009.0,0.11,Tuesday,16
2025-01-25 10:00:00,4.1,19.8,975.0,0.0,Saturday,10
2025-01-25 11:00:00,4.4,23.4,977.0,0.0,Saturday,11
2025-01-25 12:00:00,3.9,21.6,978.0,0.0,Saturday,12
2025-01-25 13:00:00,3.4,20.2,979.0,0.0,Saturday,13
2025-01-25 14:00:00,2.5,19.4,979.0,0.0,Saturday,14
2025-01-25 15:00:00,2.2,22.3,979.0,0.0,Saturday,15
2025-01-25 16:00:00,1.6,20.9,979.0,0.0,Saturday,16
2025-01-28 10:00:00,-2.8,5.8,995.0,0.11,Tuesday,10
2025-01-28 11:00:00,-2.5,5.8,995.0,0.22,Tuesday,11
2025-01-28 12:00:00,-2.0,5.0,996.0,0.23,Tuesday,12
2025-01-28 13:00:00,-1.4,5.0,996.0,0.06,Tuesday,13
2025-01-28 14:00:00,-1.3,5.8,997.0,0.0,Tuesday,14
2025-01-28 15:00:00,-1.6,5.0,997.0,0.0,Tuesday,15
2025-01-28 16:00:00,-2.2,4.7,998.0,0.0,Tuesday,16
2025-02-01 10:00:00,-5.4,5.8,1030.0,0.0,Saturday,10
2025-02-01 11:00:00,-4.3,5.0,1030.0,0.0,Saturday,11
2025-02-01 12:00:00,-3.2,4.7,1030.0,0.0,Saturday,12
2025-02-01 13:00:00,-2.6,4.3,1029.0,0.0,Saturday,13
2025-02-01 14:00:00,-2.8,4.3,1029.0,0.0,Saturday,14
2025-02-01 15:00:00,-3.9,5.4,1029.0,0.0,Saturday,15
2025-02-01 16:00:00,-5.8,6.1,1028.0,0.0,Saturday,16
2025-02-04 10:00:00,-5.4,7.6,1014.0,0.47,Tuesday,10
2025-02-04 11:00:00,-4.5,7.9,1013.0,0.17,Tuesday,11
2025-02-04 12:00:00,-3.3,7.6,1012.0,0.22,Tuesday,12
2025-02-04 13:00:00,-2.7,7.9,1011.0,0.28,Tuesday,13
2025-02-04 14:00:00,-2.3,9.0,1010.0,0.03,Tuesday,14
