Tidspunkt,Temperatur (°C),Vindhastighet (km/t),Nedbør (mm)
2025-02-16 00:00,-13.1,Ukjent vindhastighet,0.0
2025-02-16 01:00,-12.7,Ukjent vindhastighet,0.0
2025-02-16 02:00,-12.2,Ukjent vindhastighet,0.0
2025-02-16 03:00,-12.1,Ukjent vindhastighet,0.0
2025-02-16 04:00,-11.4,Ukjent vindhastighet,0.0
2025-02-16 05:00,-10.0,Ukjent vindhastighet,0.0
2025-02-16 06:00,-9.0,Ukjent vindhastighet,0.07
2025-02-16 07:00,-8.8,Ukjent vindhastighet,0.22
2025-02-16 08:00,-8.6,Ukjent vindhastighet,0.2
2025-02-16 09:00,-7.5,Ukjent vindhastighet,0.26
2025-02-16 10:00,-6.6,Ukjent vindhastighet,0.19
2025-02-16 11:00,-5.4,Ukjent vindhastighet,0.24
2025-02-16 12:00,-4.5,Ukjent vindhastighet,0.24
2025-02-16 13:00,-3.7,Ukjent vindhastighet,0.17
2025-02-16 14:00,-3.0,Ukjent vindhastighet,0.1
2025-02-16 15:00,-2.7,Ukjent vindhastighet,0.16
2025-02-16 16:00,-2.9,Ukjent vindhastighet,0.43
2025-02-16 17:00,-3.1,Ukjent vindhastighet,0.39
2025-02-16 18:00,-2.6,Ukjent vindhastighet,0.58
2025-02-16 19:00,-2.1,Ukjent vindhastighet,1.01
2025-02-16 20:00,-1.7,Ukjent vindhastighet,1.81
2025-02-16 21:00,-1.7,Ukjent vindhastighet,1.03
2025-02-16 22:00,-1.8,Ukjent vindhastighet,0.75
2025-02-16 23:00,-1.9,Ukjent vindhastighet,0.49
2025-02-17 00:00,-1.7,Ukjent vindhastighet,0.55
2025-02-17 01:00,-1.4,Ukjent vindhastighet,0.66
2025-02-17 02:00,-1.6,Ukjent vindhastighet,0.52
2025-02-17 03:00,-1.7,Ukjent vindhastighet,0.53
2025-02-17 04:00,-1.9,Ukjent vindhastighet,0.42
2025-02-17 05:00,-2.0,Ukjent vindhastighet,0.52
2025-02-17 06:00,-2.0,Ukjent vindhastighet,0.38
2025-02-17 07:00,-2.2,Ukjent vindhastighet,0.29
2025-02-17 08:00,-2.4,Ukjent vindhastighet,0.23
2025-02-17 09:00,-1.7,Ukjent vindhastighet,0.2
2025-02-17 10:00,-1.2,Ukjent vindhastighet,0.19
2025-02-17 11:00,-0.6,Ukjent vindhastighet,0.12
2025-02-17 12:00,-0.1,Ukjent vindhastighet,0.12
2025-02-17 13:00,0.3,Ukjent vindhastighet,0.03
2025-02-17 14:00,0.5,Ukjent vindhastighet,0.17
2025-02-17 15:00,0.1,Ukjent vindhastighet,0.28
2025-02-17 16:00,-1.9,Ukjent vindhastighet,0.15
2025-02-17 17:00,-4.7,Ukjent vindhastighet,0.22
2025-02-17 18:00,-5.1,Ukjent vindhastighet,0.12
2025-02-17 19:00,-2.9,Ukjent vindhastighet,0.36
2025-02-17 20:00,-1.7,Ukjent vindhastighet,0.53
2025-02-17 21:00,-2.3,Ukjent vindhastighet,1.01
