Tidspunkt,mean(air_temperature P1D),air_pressure_at_sea_level,sum(precipitation_amount P1D),mean(wind_speed P1D)
2024-03-10T00:00:00.000Z,0.4,1020.1,0.0,2.0
2024-03-10T01:00:00.000Z,,1020.5,,
2024-03-10T02:00:00.000Z,,1020.5,,
2024-03-10T03:00:00.000Z,,1020.8,,
2024-03-10T04:00:00.000Z,,1020.8,,
2024-03-10T05:00:00.000Z,,1020.7,,
2024-03-10T06:00:00.000Z,,1020.9,,
2024-03-10T07:00:00.000Z,,1021.2,,
2024-03-10T08:00:00.000Z,,1021.5,,
2024-03-10T09:00:00.000Z,,1021.5,,
2024-03-10T10:00:00.000Z,,1021.1,,
2024-03-10T11:00:00.000Z,,1021.0,,
2024-03-10T12:00:00.000Z,,1020.8,,
2024-03-10T13:00:00.000Z,,1020.4,,
2024-03-10T14:00:00.000Z,,1020.3,,
2024-03-10T15:00:00.000Z,,1020.0,,
2024-03-10T16:00:00.000Z,,1019.8,,
2024-03-10T17:00:00.000Z,,1019.9,,
2024-03-10T18:00:00.000Z,,1020.0,,
2024-03-10T19:00:00.000Z,,1020.0,,
2024-03-10T20:00:00.000Z,,1020.3,,
2024-03-10T21:00:00.000Z,,1020.3,,
2024-03-10T22:00:00.000Z,,1020.5,,
2024-03-10T23:00:00.000Z,,1020.7,,
2024-03-11T00:00:00.000Z,-1.4,1020.6,0.0,2.1
2024-03-11T01:00:00.000Z,,1020.7,,
2024-03-11T02:00:00.000Z,,1020.4,,
2024-03-11T03:00:00.000Z,,1020.3,,
2024-03-11T04:00:00.000Z,,1020.2,,
2024-03-11T05:00:00.000Z,,1020.1,,
2024-03-11T06:00:00.000Z,,1020.1,,
2024-03-11T07:00:00.000Z,,1020.4,,
2024-03-11T08:00:00.000Z,,1020.3,,
2024-03-11T09:00:00.000Z,,1020.3,,
2024-03-11T10:00:00.000Z,,1020.2,,
2024-03-11T11:00:00.000Z,,1019.9,,
2024-03-11T12:00:00.000Z,,1019.4,,
2024-03-11T13:00:00.000Z,,1018.9,,
2024-03-11T14:00:00.000Z,,1018.8,,
2024-03-11T15:00:00.000Z,,1018.2,,
2024-03-11T16:00:00.000Z,,1017.9,,
2024-03-11T17:00:00.000Z,,1017.7,,
2024-03-11T18:00:00.000Z,,1017.9,,
2024-03-11T19:00:00.000Z,,1017.7,,
2024-03-11T20:00:00.000Z,,1017.7,,
2024-03-11T21:00:00.000Z,,1017.8,,
2024-03-11T22:00:00.000Z,,1017.7,,
2024-03-11T23:00:00.000Z,,1017.5,,
2024-03-12T00:00:00.000Z,-1.2,1017.3,0.0,0.9
2024-03-12T01:00:00.000Z,,1017.0,,
2024-03-12T02:00:00.000Z,,1016.7,,
2024-03-12T03:00:00.000Z,,1016.3,,
2024-03-12T04:00:00.000Z,,1016.3,,
2024-03-12T05:00:00.000Z,,1016.1,,
2024-03-12T06:00:00.000Z,,1016.0,,
2024-03-12T07:00:00.000Z,,1016.0,,
2024-03-12T08:00:00.000Z,,1015.8,,
2024-03-12T09:00:00.000Z,,1015.7,,
2024-03-12T10:00:00.000Z,,1015.1,,
2024-03-12T11:00:00.000Z,,1014.6,,
2024-03-12T12:00:00.000Z,,1014.4,,
2024-03-12T13:00:00.000Z,,1013.9,,
2024-03-12T14:00:00.000Z,,1013.7,,
2024-03-12T15:00:00.000Z,,1013.5,,
2024-03-12T16:00:00.000Z,,1013.3,,
2024-03-12T17:00:00.000Z,,1013.3,,
2024-03-12T18:00:00.000Z,,1012.8,,
2024-03-12T19:00:00.000Z,,1012.6,,
2024-03-12T20:00:00.000Z,,1012.3,,
2024-03-12T21:00:00.000Z,,1012.0,,
2024-03-12T22:00:00.000Z,,1011.9,,
2024-03-12T23:00:00.000Z,,1011.7,,
2024-03-13T00:00:00.000Z,-0.5,1011.0,0.0,2.4
2024-03-13T01:00:00.000Z,,1010.6,,
2024-03-13T02:00:00.000Z,,1009.6,,
2024-03-13T03:00:00.000Z,,1009.3,,
2024-03-13T04:00:00.000Z,,1008.3,,
2024-03-13T05:00:00.000Z,,1007.8,,
2024-03-13T06:00:00.000Z,,1007.1,,
2024-03-13T07:00:00.000Z,,1006.4,,
2024-03-13T08:00:00.000Z,,1005.5,,
2024-03-13T09:00:00.000Z,,1004.4,,
2024-03-13T10:00:00.000Z,,1002.9,,
2024-03-13T11:00:00.000Z,,1001.4,,
2024-03-13T12:00:00.000Z,,999.5,,
